order_id,user_id,status,created_at,shipped_at,delivered_at,num_of_item
515,430,Cancelled,2024-04-09 06:52:00.000000 UTC,,,1
583,486,Cancelled,2024-04-01 12:13:00.000000 UTC,,,1
775,629,Cancelled,2024-04-07 13:35:00.000000 UTC,,,2
864,703,Cancelled,2024-04-11 07:53:54.208579 UTC,,,1
1161,941,Cancelled,2024-04-02 06:32:00.000000 UTC,,,1
1560,1269,Cancelled,2024-04-12 07:13:08.776392 UTC,,,1
1563,1269,Cancelled,2024-04-12 07:13:08.776392 UTC,,,2
1595,1289,Cancelled,2024-04-08 02:53:00.000000 UTC,,,2
2541,2034,Cancelled,2024-04-10 09:30:26.909298 UTC,,,1
3417,2749,Cancelled,2024-04-09 17:25:00.000000 UTC,,,1
3539,2840,Cancelled,2024-04-09 00:29:45.976514 UTC,,,1
3577,2873,Cancelled,2024-04-08 12:09:46.765061 UTC,,,1
3930,3164,Cancelled,2024-04-03 10:02:00.000000 UTC,,,1
4245,3425,Cancelled,2024-04-01 17:29:00.000000 UTC,,,1
4957,4017,Cancelled,2024-04-04 04:01:00.000000 UTC,,,1
5643,4554,Cancelled,2024-04-04 16:27:00.000000 UTC,,,4
5750,4635,Cancelled,2024-04-09 01:05:00.000000 UTC,,,1
5922,4759,Cancelled,2024-04-12 12:01:31.555906 UTC,,,1
6095,4883,Cancelled,2024-04-10 12:24:34.491004 UTC,,,1
6436,5153,Cancelled,2024-04-09 14:09:00.000000 UTC,,,1
7413,5939,Cancelled,2024-04-02 18:16:00.000000 UTC,,,1
7781,6227,Cancelled,2024-04-08 17:34:06.598554 UTC,,,1
7990,6391,Cancelled,2024-04-07 06:30:00.000000 UTC,,,1
8059,6447,Cancelled,2024-04-01 07:26:00.000000 UTC,,,1
8410,6733,Cancelled,2024-04-10 01:46:00.000000 UTC,,,2
8526,6821,Cancelled,2024-04-02 13:46:00.000000 UTC,,,1
8694,6945,Cancelled,2024-04-10 13:42:00.000000 UTC,,,4
9181,7337,Cancelled,2024-04-09 07:00:00.000000 UTC,,,2
9798,7839,Cancelled,2024-04-05 02:22:00.000000 UTC,,,2
9824,7857,Cancelled,2024-04-10 11:03:47.729870 UTC,,,1
9873,7888,Cancelled,2024-04-12 14:54:48.480770 UTC,,,1
9910,7911,Cancelled,2024-04-12 09:39:49.055978 UTC,,,1
9968,7962,Cancelled,2024-04-11 02:25:50.273012 UTC,,,1
10001,7983,Cancelled,2024-04-10 03:51:00.000000 UTC,,,1
10002,7983,Cancelled,2024-04-10 03:51:00.000000 UTC,,,1
10112,8082,Cancelled,2024-04-10 14:00:53.114478 UTC,,,2
10152,8109,Cancelled,2024-04-10 08:19:53.757403 UTC,,,1
10607,8457,Cancelled,2024-04-03 18:02:00.000000 UTC,,,1
10633,8483,Cancelled,2024-04-07 14:09:00.000000 UTC,,,4
10720,8542,Cancelled,2024-04-09 12:56:00.000000 UTC,,,1
11368,9076,Cancelled,2024-04-09 10:42:00.000000 UTC,,,1
11371,9077,Cancelled,2024-04-07 01:46:16.843129 UTC,,,1
12082,9618,Cancelled,2024-04-12 08:24:29.536578 UTC,,,1
12526,9990,Cancelled,2024-04-10 00:31:38.125803 UTC,,,2
13648,10881,Cancelled,2024-04-10 10:04:00.000000 UTC,,,1
13811,11020,Cancelled,2024-04-01 07:43:00.000000 UTC,,,1
13863,11059,Cancelled,2024-04-10 17:17:03.355724 UTC,,,1
14190,11312,Cancelled,2024-04-02 04:54:00.000000 UTC,,,1
14283,11391,Cancelled,2024-04-09 17:03:00.000000 UTC,,,1
14328,11431,Cancelled,2024-04-04 06:41:00.000000 UTC,,,1
14906,11910,Cancelled,2024-04-12 08:05:00.000000 UTC,,,1
15056,12041,Cancelled,2024-04-11 04:59:26.513485 UTC,,,1
15403,12323,Cancelled,2024-04-09 17:30:00.000000 UTC,,,1
15571,12444,Cancelled,2024-04-10 02:58:00.000000 UTC,,,1
16040,12817,Cancelled,2024-04-10 02:07:44.745931 UTC,,,2
16125,12894,Cancelled,2024-04-07 10:50:00.000000 UTC,,,1
16135,12902,Cancelled,2024-04-08 10:20:46.684736 UTC,,,2
16137,12902,Cancelled,2024-04-07 10:20:46.684736 UTC,,,1
16275,13001,Cancelled,2024-04-12 03:17:49.047191 UTC,,,2
16380,13081,Cancelled,2024-04-10 01:31:50.873368 UTC,,,1
16466,13143,Cancelled,2024-04-10 05:29:52.353395 UTC,,,3
16549,13218,Cancelled,2024-04-11 08:03:54.044274 UTC,,,1
16551,13218,Cancelled,2024-04-11 08:03:54.044274 UTC,,,1
16696,13322,Cancelled,2024-04-10 07:28:56.405589 UTC,,,1
16723,13348,Cancelled,2024-04-11 03:29:56.985914 UTC,,,1
16841,13448,Cancelled,2024-04-03 08:28:00.000000 UTC,,,1
17286,13781,Cancelled,2024-04-02 10:43:00.000000 UTC,,,1
17769,14148,Cancelled,2024-04-02 17:17:00.000000 UTC,,,1
17799,14176,Cancelled,2024-04-09 05:49:00.000000 UTC,,,1
17810,14184,Cancelled,2024-04-12 04:32:16.643904 UTC,,,1
18028,14345,Cancelled,2024-04-10 05:36:20.190592 UTC,,,1
19026,15135,Cancelled,2024-04-08 18:36:39.098613 UTC,,,1
19393,15402,Cancelled,2024-04-10 02:50:45.633448 UTC,,,2
19592,15570,Cancelled,2024-04-10 13:21:00.000000 UTC,,,2
19732,15684,Cancelled,2024-04-10 08:12:52.396152 UTC,,,1
19777,15726,Cancelled,2024-04-10 16:03:53.387408 UTC,,,2
20109,15981,Cancelled,2024-04-04 10:37:00.000000 UTC,,,1
20189,16036,Cancelled,2024-04-06 12:47:00.000000 UTC,,,1
20338,16161,Cancelled,2024-04-02 03:37:00.000000 UTC,,,2
20517,16290,Cancelled,2024-04-05 12:42:00.000000 UTC,,,1
20920,16607,Cancelled,2024-04-04 07:07:00.000000 UTC,,,1
21158,16787,Cancelled,2024-04-11 08:58:24.966727 UTC,,,2
21161,16791,Cancelled,2024-04-10 08:09:25.058630 UTC,,,2
21162,16791,Cancelled,2024-04-08 08:09:25.058630 UTC,,,1
21175,16799,Cancelled,2024-04-06 00:48:00.000000 UTC,,,1
21375,16961,Cancelled,2024-04-08 14:56:29.107956 UTC,,,1
21718,17254,Cancelled,2024-04-08 03:50:00.000000 UTC,,,1
21866,17376,Cancelled,2024-04-12 07:46:00.000000 UTC,,,1
22256,17682,Cancelled,2024-04-02 10:20:00.000000 UTC,,,2
22330,17743,Cancelled,2024-04-04 09:47:00.000000 UTC,,,2
22369,17770,Cancelled,2024-04-10 14:31:48.580723 UTC,,,1
22433,17823,Cancelled,2024-04-04 09:27:00.000000 UTC,,,1
23137,18394,Cancelled,2024-04-10 09:49:03.833439 UTC,,,1
23144,18400,Cancelled,2024-04-05 02:36:00.000000 UTC,,,3
23308,18521,Cancelled,2024-04-11 06:43:06.943097 UTC,,,3
23351,18557,Cancelled,2024-04-09 07:20:00.000000 UTC,,,2
24243,19252,Cancelled,2024-04-10 19:00:24.536785 UTC,,,1
24244,19252,Cancelled,2024-04-10 19:00:24.536785 UTC,,,1
24390,19363,Cancelled,2024-04-09 12:51:27.177040 UTC,,,2
24710,19612,Cancelled,2024-04-06 01:50:00.000000 UTC,,,1
24820,19709,Cancelled,2024-04-02 14:54:00.000000 UTC,,,1
25029,19875,Cancelled,2024-04-08 16:04:39.319561 UTC,,,4
25261,20046,Cancelled,2024-04-09 10:12:00.000000 UTC,,,1
25380,20145,Cancelled,2024-04-06 04:25:00.000000 UTC,,,1
27405,21708,Cancelled,2024-04-04 13:17:00.000000 UTC,,,1
27759,21982,Cancelled,2024-04-06 02:12:00.000000 UTC,,,1
27922,22129,Cancelled,2024-04-07 11:57:00.000000 UTC,,,1
28013,22208,Cancelled,2024-04-07 17:05:35.072853 UTC,,,1
28050,22240,Cancelled,2024-04-06 18:02:00.000000 UTC,,,2
28121,22302,Cancelled,2024-04-05 02:46:00.000000 UTC,,,1
28418,22538,Cancelled,2024-04-05 02:53:00.000000 UTC,,,2
29263,23232,Cancelled,2024-04-10 14:10:59.473828 UTC,,,1
